ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"156.225.72.216","elite","AS209242","US","GS TECHNOLOGIES LIMITED","7","GS Technologies Limited","80","http","32","100","38","38","2025-08-02T09:50:41.745Z","3096"
"104.16.59.66","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","29","100","38","38","2025-08-02T09:50:39.880Z","224"
"104.16.28.211","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","17","100","39","39","2025-08-02T09:50:39.115Z","1994"
"104.16.88.96","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","http","25","100","42","42","2025-08-02T09:50:39.687Z","4871"
"5.182.34.238","elite","AS209242","IT","Cloudflare London, LLC","7","N/A","80","http","18","100","81","81","2025-08-02T09:50:38.297Z","4332"
"45.131.208.43","elite","AS209242","BZ","Cloudflare London, LLC","4","Inter Networks","80","http","15","100","39","39","2025-08-02T09:50:36.195Z","4496"
"172.67.177.63","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","http","12","100","40","40","2025-08-02T09:50:34.887Z","4401"
"172.67.181.154","elite","AS13335","CA","Cloudflare, Inc.","11","Cloudflare, Inc.","80","http","18","100","40","40","2025-08-02T09:50:34.114Z","4571"
"156.225.72.42","elite","AS209242","US","GS TECHNOLOGIES LIMITED","10","GS Technologies Limited","80","http","26","100","38","38","2025-08-02T09:50:33.926Z","2488"
"154.92.9.128","elite","AS209242","CY","Cloudflare London, LLC","7","Salo Solutions KFT","80","http","10","100","37","37","2025-08-02T09:50:33.439Z","2315"
"104.16.86.195","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","18","100","80","80","2025-08-02T09:50:31.797Z","3782"
"5.10.247.193","elite","AS209242","CW","Cloudflare London, LLC","7","Hollycorn N.V","80","http","20","100","40","40","2025-08-02T09:50:29.817Z","4079"
"45.131.208.55","elite","AS209242","BZ","Cloudflare London, LLC","7","Inter Networks","80","http","13","100","37","37","2025-08-02T09:50:29.417Z","4764"
"45.131.211.110","elite","AS209242","BZ","Cloudflare London, LLC","7","Inter Networks","80","http","24","100","40","40","2025-08-02T09:50:29.241Z","4785"
"172.67.181.51","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","23","100","39","39","2025-08-02T09:50:28.025Z","4289"
"45.131.208.241","elite","AS209242","BZ","Cloudflare London, LLC","7","Inter Networks","80","http","10","100","39","39","2025-08-02T09:50:28.390Z","4691"
